,doc_id,filename,law_type,source,description,notes
5,Drugs_006,Drugs_006.pdf,Drug_laws,"Constitution of Anti Narcotics Force Ordinance, 1996 (Ordinance No. CXIV of 1996)","Provides for the constitution of the Anti Narcotics Force (ANF) to investigate narcotics-related offences and trafficking, and to handle matters connected with drug control and enforcement in Pakistan.",Uploaded by user
6,Drugs_007,Drugs_007.pdf,Drug_laws,"Anti Narcotics Force Ordinance, 1996 (Ordinance No. III of 1996)","Provides for the establishment of the Anti Narcotics Force (ANF) to inquire into and investigate offences related to narcotics and drug trafficking, along with related enforcement matters across Pakistan.",Uploaded by user
7,Drugs_008,Drugs_008.pdf,Drug_laws,"Anti Narcotics Force Ordinance, 1995 (Ordinance No. LIX of 1995)","Provides for the establishment of the Anti Narcotics Force (ANF) to investigate offences related to narcotics and drug trafficking, and to handle enforcement and related matters concerning drug control in Pakistan.",Uploaded by user
8,Drugs_009,Drugs_009.pdf,Drug_laws,"Cannabis Control and Regulatory Authority Act, 2024 (Act No. XXIV of 2024)","Provides a legal framework to regulate the cultivation of cannabis plants and the extraction, refining, manufacturing, and sale of cannabis derivatives for medicinal, industrial, and related public uses in Pakistan.",Uploaded by user
9,Drugs_010,Drugs_010.pdf,Drug_laws,"Control of Narcotic Substances Act, 1997 (Act No. XXV of 1997)","Principal law consolidating and amending regulations relating to narcotic drugs and psychotropic substances, including their production, processing, trafficking, control, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user
10,Drugs_011,Drugs_011.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1995 (Ordinance No. CXXII of 1995)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user
11,Drugs_012,Drugs_012.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1995 (Ordinance No. LXXXIV of 1995)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user
12,Drugs_013,Drugs_013.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. XIII of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, and trafficking in Pakistan.",Uploaded by user
13,Drugs_014,Drugs_014.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. LIX of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user
14,Drugs_015,Drugs_015.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1997 (Ordinance No. XLIII of 1997)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts, serving as an interim legal framework prior to the 1997 Act.",Uploaded by user
15,Drugs_016,Drugs_016.pdf,Drug_laws,"Control of Narcotic Substances Ordinance, 1996 (Ordinance No. XCIV of 1996)","Provides for the consolidation and amendment of laws relating to narcotic drugs and psychotropic substances, including their control, production, processing, trafficking, and the treatment and rehabilitation of addicts in Pakistan.",Uploaded by user
16,Drugs_017,Drugs_017.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2022 (Act No. XX of 2022)","Amends the Control of Narcotic Substances Act, 1997 to update and strengthen the legal framework governing narcotic drugs and psychotropic substances, including expanding its scope and regulatory provisions in Pakistan.",Uploaded by user
17,Drugs_018,Drugs_018.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2020 (Act No. XXIV of 2020)","Further amends the Control of Narcotic Substances Act, 1997 to update and strengthen legal provisions related to narcotic drugs and psychotropic substances in Pakistan.",Uploaded by user
18,Drugs_019,Drugs_019.pdf,Drug_laws,"Control of Narcotic Substances (Amendment) Act, 2023 (Act No. XXXVIII of 2023)","Further amends the Control of Narcotic Substances Act, 1997 to refine and strengthen the legal and regulatory framework governing narcotic drugs and psychotropic substances in Pakistan.",Uploaded by user
19,OtherLaws_001,OtherLaws_001.pdf,Other Laws,"Islamabad Capital Territory Child Protection Act, 2018 (Act No. XXI of 2018)","Provides for the protection and care of children in the Islamabad Capital Territory, including safeguards against physical and mental violence, injury, neglect, maltreatment, exploitation, and abuse.",Uploaded by user
20,OtherLaws_002,OtherLaws_002.pdf,Other Laws,"Prevention of Electronic Crimes Act, 2016 (Act No. XL of 2016)","Provides for the prevention of unauthorized acts related to information systems, including cybercrimes, and establishes mechanisms for investigation, prosecution, and international cooperation in electronic crime matters in Pakistan.",Uploaded by user
21,OtherLaws_003,OtherLaws_003.pdf,Other Laws,FAST-NUCES Academic Rules and Regulations (Prospectus 2025),"Provides comprehensive academic policies and regulations for FAST-NUCES, including attendance requirements, grading system, semester structure, registration rules, disciplinary policies, academic warnings, degree requirements, and student conduct guidelines.",Uploaded by user
22,OtherLaws_004,OtherLaws_004.pdf,Other Laws,"Prevention of Electronic Crimes (Amendment) Act, 2025 (Act No. II of 2025)","Amends the Prevention of Electronic Crimes Act, 2016 to update and strengthen legal provisions related to electronic crimes, including enforcement mechanisms and regulatory scope in Pakistan.",Uploaded by user
23,OtherLaws_005,OtherLaws_005.pdf,Other Laws,"Prevention of Electronic Crimes (Amendment) Ordinance, 2022 (Ordinance No. II of 2022)","Amends the Prevention of Electronic Crimes Act, 2016 to update and strengthen legal provisions related to electronic crimes, including enforcement mechanisms and regulatory scope in Pakistan.",Uploaded by user
24,OtherLaws_006,OtherLaws_006.pdf,Other Laws,"Prevention of Electronic Crimes (Amendment) Act, 2023 (Act No. XXXVII of 2023)","Amends the Prevention of Electronic Crimes Act, 2016, along with related provisions of the Pakistan Penal Code, 1860 and the Qanun-e-Shahadat, 1984, to strengthen legal measures, enforcement, and evidentiary framework for electronic crimes in Pakistan.",Uploaded by user
25,OtherLaws_007,OtherLaws_007.pdf,Other Laws,"SZABIST Student Handbook, 2025","Provides comprehensive rules, policies, and procedures governing students at SZABIST University, including academic regulations, grading, attendance, examinations, disciplinary code of conduct, student services, facilities usage, and administrative guidelines for student life and academic progression.",Uploaded by user
26,OtherLaws_008,OtherLaws_008.pdf,Other Laws,"LUMS Student Handbook (Undergraduate Programme), 20242025","Provides comprehensive academic policies, regulations, and student guidelines for undergraduate programs at LUMS, including course registration, grading system, attendance, examinations, academic standing, code of conduct, disciplinary procedures, graduation requirements, and student services.",Uploaded by user
27,OtherLaws_009,OtherLaws_009.pdf,Other Laws,"Habib University Student Resources Handbook, 20202021","Provides an overview of student support services, academic advising, campus life, wellness, career services, and administrative facilities at Habib University, aimed at guiding students through their academic journey and overall university experience.",Uploaded by user
28,OtherLaws_010,OtherLaws_010.pdf,Other Laws,"Islamabad Capital Territory Child Protection (Amendment) Act, 2022 (Act No. II of 2022)","Amends the Islamabad Capital Territory Child Protection Act, 2018 to strengthen legal provisions for the protection, welfare, and safeguarding of children, enhancing enforcement mechanisms and addressing gaps in child protection laws in the Islamabad Capital Territory.",Uploaded by user
29,OtherLaws_011,OtherLaws_011.pdf,Other Laws,"Prevention of Electronic Crimes Ordinance, 2007 (Ordinance No. LXXII of 2007)","Provides legal provisions for the prevention of electronic crimes in Pakistan, including offenses against the confidentiality, integrity, and availability of electronic systems and data, along with mechanisms for investigation, prosecution, and punishment of such offenses.",Uploaded by user
30,OtherLaws_012,OtherLaws_012.pdf,Other Laws,NUST Undergraduate Student Handbook,"Provides detailed academic regulations, policies, and guidelines for undergraduate students at the National University of Sciences and Technology (NUST), including scheme of studies, examinations, grading system, academic standards, disciplinary code, campus life rules, and administrative procedures for degree completion.",Uploaded by user
31,OtherLaws_013,OtherLaws_013.pdf,Other Laws,"Pakistan Telecommunication (Re-organization) and Prevention of Electronic Crimes (Amendment) Ordinance, 2023 (Ordinance No. VIII of 2023)","Amends the Pakistan Telecommunication (Re-organization) Act, 1996 and the Prevention of Electronic Crimes Act, 2016 to establish a Telecommunication Appellate Tribunal and enhance regulatory and legal mechanisms for oversight, enforcement, and adjudication in telecommunication and electronic crime matters in Pakistan.",Uploaded by user
32,OtherLaws_014,OtherLaws_014.pdf,Other Laws,"Pakistan Telecommunication (Re-organization) and Prevention of Electronic Crimes (Amendment) Act, 2024 (Act No. XXV of 2024)","Amends the Pakistan Telecommunication (Re-organization) Act, 1996 and the Prevention of Electronic Crimes Act, 2016 to establish a Telecommunication Appellate Tribunal and strengthen regulatory, adjudicatory, and enforcement mechanisms for telecommunication and electronic crime-related matters in Pakistan.",Uploaded by user
33,OtherLaws_015,OtherLaws_015.pdf,Other Laws,"University of Karachi Semester Rules, 2002","Defines the academic framework and semester system regulations for undergraduate and postgraduate programs at the University of Karachi, including course structure, credit hour system, examination rules, grading criteria, attendance requirements, promotion policies, and faculty-specific degree requirements across disciplines such as arts, science, commerce, pharmacy, and computer science.",Uploaded by user
34,OtherLaws_016,OtherLaws_016.pdf,Other Laws,IBA Karachi Student Handbook 202021,"Provides comprehensive guidelines, policies, and regulations for students at the Institute of Business Administration (IBA), Karachi, including academic rules, code of conduct, examination procedures, attendance policies, disciplinary measures, student services, campus facilities, and institutional expectations to ensure academic integrity and student development.",Uploaded by user
35,StudentLaw_001,StudentLaw_001.pdf,Student Laws,"National Civic Education Commission Act, 2018 (Act No. XIV of 2018)","Provides for the establishment of the National Civic Education Commission to promote civic education, enhance awareness of fundamental rights and obligations, and foster responsible citizenship through education, knowledge, and participation in democratic processes within the Islamabad Capital Territory.",Uploaded by user
36,StudentLaw_002,StudentLaw_002.pdf,Student Laws,"West Pakistan (Board of Intermediate and Secondary Education, Hyderabad) (Validating) Act, 1965 (West Pakistan Act No. III of 1965)","Validates the acts, powers exercised, and functions performed by the Chairman-designate of the Board of Intermediate and Secondary Education, Hyderabad, during the period from 1st November 1960 to 16th August 1961, ensuring legal continuity and legitimacy of administrative actions taken prior to formal establishment under law.",Uploaded by user
37,StudentLaw_003,StudentLaw_003.pdf,Student Laws,"West Pakistan (Board of Intermediate and Secondary Education, Karachi) Ordinance, 1962 (West Pakistan Ordinance No. III of 1962)","Provides for the reconstitution and reorganization of the Karachi Board of Intermediate and Secondary Education, defining its structure, powers, functions, and governance framework for administering intermediate and secondary education within its jurisdiction.",Uploaded by user
38,StudentLaw_004,StudentLaw_004.pdf,Student Laws,"West Pakistan (Board of Intermediate and Secondary Education, Peshawar) (Validating) Act, 1965 (West Pakistan Act No. IV of 1965)","Validates the acts, powers exercised, and functions performed by the Chairman-designate of the Board of Intermediate and Secondary Education, Peshawar, during the period from 2nd November 1960 to 17th August 1961, ensuring legal recognition and continuity of actions taken prior to formal statutory establishment.",Uploaded by user
39,StudentLaw_005,StudentLaw_005.pdf,Student Laws,"West Pakistan Government Educational and Training Institutions (Extension to Karachi Division) Act, 1962 (West Pakistan Act No. IV of 1962)","Extends the provisions of the West Pakistan Government Educational and Training Institutions Ordinance, 1960 to the Karachi Division, thereby bringing educational and training institutions in the region under the same legal and administrative framework applicable in West Pakistan.",Uploaded by user
40,StudentLaw_006,StudentLaw_006.pdf,Student Laws,"Federal Board of Intermediate and Secondary Education (Amendment) Ordinance, 2024 (Ordinance No. IX of 2024)","Amends the Federal Board of Intermediate and Secondary Education Act, 1975 to update and improve the regulatory, administrative, and operational framework governing the Federal Board, including provisions related to examination systems, governance, and institutional functions.",Uploaded by user
41,StudentLaw_007,StudentLaw_007.pdf,Student Laws,"Workers Children (Education) (Amendment) Ordinance, 1972 (Ordinance No. L of 1972)","Amends the Workers Children (Education) Ordinance, 1972 to extend and regulate educational provisions for children of workers across Pakistan, ensuring access to education and strengthening legal measures for their educational welfare.",Uploaded by user
42,StudentLaw_008,StudentLaw_008.pdf,Student Laws,"Federal Board of Intermediate and Secondary Education Act, 1975 (Act No. LXVIII of 1975)","Provides for the establishment of the Federal Board of Intermediate and Secondary Education, defining its structure, functions, powers, and responsibilities for regulating and administering intermediate and secondary education, including affiliation of institutions, examination systems, and academic standards.",Uploaded by user
43,StudentLaw_009,StudentLaw_009.pdf,Student Laws,"Pakistan Medical and Dental Council (Postgraduate Education) Regulations, 2023","Provides a comprehensive regulatory framework governing postgraduate medical and dental education in Pakistan, including program recognition, qualification structures, admission policies, training standards, supervision criteria, assessment mechanisms, and institutional requirements under the Pakistan Medical and Dental Council Act, 2022.",Uploaded by user
44,StudentLaw_010,StudentLaw_010.pdf,Student Laws,"Compulsory Primary Education (FATA) Regulation, 2002 (Regulation No. I of 2002)","Provides for the introduction and enforcement of compulsory primary education in the Federally Administered Tribal Areas (FATA), establishing a legal framework to ensure access to basic education for children in the region.",Uploaded by user
45,StudentLaw_011,StudentLaw_011.pdf,Student Laws,"Higher Education Commission (Amendment) Act, 2021 (Act No. XXI of 2021)","Amends the Higher Education Commission Ordinance, 2002 to update the legal framework governing the Higher Education Commission, refining its structure, functions, and regulatory role in overseeing higher education institutions in Pakistan.",Uploaded by user
46,StudentLaw_012,StudentLaw_012.pdf,Student Laws,"Higher Education Commission (Amendment) Ordinance, 2021 (Ordinance No. IX of 2021)","Introduces amendments to the Higher Education Commission Ordinance, 2002, updating the governance and regulatory framework of the Higher Education Commission through presidential ordinance in the absence of Parliament.",Uploaded by user
47,StudentLaw_013,StudentLaw_013.pdf,Student Laws,"Higher Education Commission (Second Amendment) Act, 2021 (Act No. XXII of 2021)","Further amends the legal framework governing the Higher Education Commission by revising provisions of the Higher Education Commission Ordinance, 2002 and incorporating changes introduced through the 2021 amendment ordinance, strengthening regulatory and governance mechanisms for higher education in Pakistan.",Uploaded by user
48,StudentLaw_014,StudentLaw_014.pdf,Student Laws,"Higher Education Commission (Amendment) Ordinance, 2021 (Ordinance No. X of 2021)","Further amends the Higher Education Commission Ordinance, 2002 by introducing additional changes to its governance and regulatory framework, building upon earlier 2021 amendments through presidential ordinance.",Uploaded by user
49,StudentLaw_015,StudentLaw_015.pdf,Student Laws,"Higher Education Commission Ordinance, 2002 (Ordinance No. LIII of 2002)","Provides for the establishment of the Higher Education Commission as the central regulatory body for higher education in Pakistan, outlining its structure, powers, functions, and responsibilities for promoting, regulating, and developing higher education, research, and academic standards nationwide.",Uploaded by user
50,StudentLaw_016,StudentLaw_016.pdf,Student Laws,"Islamabad Capital Territory Education Cess Rules, 1981","Prescribes the procedure for assessment, collection, and enforcement of education cess payable by employers in the Islamabad Capital Territory under the Workers Children (Education) Ordinance, 1972, including requirements for returns, payment mechanisms, inspection powers, recovery processes, and appeals.",Uploaded by user
51,StudentLaw_017,StudentLaw_017.pdf,Student Laws,"Private Educational Institutions (Registration and Regulation) Ordinance, 2009 (Ordinance No. LIV of 2009)","Provides a revised legal framework for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, aiming to ensure transparency, accountability, and adherence to prescribed educational standards.",Uploaded by user
52,StudentLaw_018,StudentLaw_018.pdf,Student Laws,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. IX of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, establishing mechanisms to ensure transparency, proper governance, and compliance with prescribed educational standards.",Uploaded by user
53,StudentLaw_019,StudentLaw_019.pdf,Student Laws,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. XXIX of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, proper administration, and compliance with prescribed standards.",Uploaded by user
54,StudentLaw_020,StudentLaw_020.pdf,Student Laws,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. LV of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, proper discipline, and standardized oversight of educational services.",Uploaded by user
55,StudentLaw_021,StudentLaw_021.pdf,Student Laws,"Private Educational Institutions (Registration and Regulation) Ordinance, 2006 (Ordinance No. XXII of 2006)","Provides a legal framework for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, accountability, and proper administrative control.",Uploaded by user
56,StudentLaw_022,StudentLaw_022.pdf,Student Laws,"Islamabad Capital Territory Workers Children Education Cess (Utilization) Rules, 1981","Provides rules for the utilization of funds collected under the Workers Children (Education) Ordinance, 1972 in the Islamabad Capital Territory, including provisions for scholarships, educational facilities, and administrative mechanisms for supporting workers childrens education.",Uploaded by user
57,StudentLaw_023,StudentLaw_023.pdf,Student Laws,"Medical and Dental Undergraduate Education (Admissions, Curriculum and Conduct) Policy and Regulations, 2025","Establishes a comprehensive regulatory framework by the Pakistan Medical and Dental Council governing admissions, curriculum standards, student conduct, and eligibility criteria for undergraduate medical and dental education in Pakistan, including centralized admission processes and requirements such as MDCAT qualification.",Uploaded by user
58,StudentLaw_024,StudentLaw_024.pdf,Student Laws,"National Commission for Basic Education Ordinance, 1993 (Ordinance No. XXXIV of 1993)","Provides for the establishment of a National Commission for Basic Education to promote grassroots education and adult literacy in Pakistan, outlining its structure, functions, and key definitions for advancing basic education initiatives nationwide.",Uploaded by user
59,StudentLaw_025,StudentLaw_025.pdf,Student Laws,"National Education Foundation (Restructuring) Ordinance, 2002 (Ordinance No. XX of 2002)","Provides for the restructuring of the National Education Foundation, introducing changes to its organizational framework and functions to improve the delivery and management of educational initiatives in Pakistan.",Uploaded by user
60,StudentLaw_026,StudentLaw_026.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2006 (Ordinance No. XXXIV of 2006)","Provides for the establishment of an autonomous body to regulate, coordinate, and set policy direction for technical and vocational education and training in Pakistan, aiming to enhance skills development and workforce capacity.",Uploaded by user
61,StudentLaw_027,StudentLaw_027.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2007 (Ordinance No. XXXIII of 2007)","Provides for the establishment and regulation of an autonomous body to coordinate, regulate, and formulate policy for technical and vocational education and training in Pakistan, aimed at improving workforce skills and training standards nationwide.",Uploaded by user
62,StudentLaw_028,StudentLaw_028.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2008 (Ordinance No. VII of 2008)","Provides for the establishment and continuation of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, strengthening institutional oversight and skills development frameworks.",Uploaded by user
63,StudentLaw_029,StudentLaw_029.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2008 (Ordinance No. V of 2008)","Provides for the establishment of an autonomous body to regulate, coordinate, and set policy direction for technical and vocational education and training in Pakistan, aiming to strengthen skills development and institutional governance.",Uploaded by user
64,StudentLaw_030,StudentLaw_030.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. XVII of 2009)","Provides for the establishment and continuation of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, enhancing governance and national skills development initiatives.",Uploaded by user
65,StudentLaw_031,StudentLaw_031.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. XXXVI of 2009)","Provides for the establishment and continuation of an autonomous body responsible for regulating, coordinating, and setting policy direction for technical and vocational education and training in Pakistan, enhancing national skills development systems.",Uploaded by user
66,StudentLaw_032,StudentLaw_032.pdf,Student Laws,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. VI of 2009)","Provides for the establishment and functioning of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, strengthening institutional mechanisms for skills development.",Uploaded by user
67,StudentLaw_033,StudentLaw_033.pdf,Student Laws,"Dini Madaris (Registration and Regulation) Ordinance, 2001 (Ordinance No. XL of 2001)","Provides for the establishment of model dini madaris and introduces a framework for registration, regulation, and standardization of curricula to ensure uniform educational standards and integration of Islamic education with the general education system in Pakistan.",Uploaded by user
68,StudentLaw_034,StudentLaw_034.pdf,Student Laws,"Islamabad Capital Territory Free and Compulsory Education Act, 2012 (Act No. XXIV of 2012)","Provides for free and compulsory education to all children aged five to sixteen years in the Islamabad Capital Territory, establishing the legal framework for universal access to basic education and defining the responsibilities of federal and local authorities.",Uploaded by user
69,StudentLaw_035,StudentLaw_035.pdf,Student Laws,"Compulsory Primary Education Ordinance, 2002 (Ordinance No. XIV of 2002)","Provides for compulsory primary education in the Islamabad Capital Territory, establishing legal obligations and framework to ensure access to basic education for children and promote universal primary education.",Uploaded by user
70,StudentLaw_036,StudentLaw_036.pdf,Student Laws,"Labour Laws (Amendment) Ordinance, 1994 (Ordinance No. VII of 1994)","Amends various labour-related laws concerning workers compensation, wages, old-age pensions, social security, workers children education, gratuity, and profit-sharing, and repeals the earlier Labour Laws (Amendment) Ordinance, 1993 to consolidate updated provisions.",Uploaded by user
71,StudentLaw_037,StudentLaw_037.pdf,Student Laws,"Federal Supervision of Curricula, Text-books and Maintenance of Standards of Education Act, 1976 (Act No. X of 1976)","Provides for federal oversight of curricula, textbooks, and educational standards across Pakistan, aiming to promote national cohesion, improve educational quality, and ensure uniform standards in various levels and streams of education.",Uploaded by user
72,StudentLaw_038,StudentLaw_038.pdf,Student Laws,"Workers Children (Education) Ordinance, 1972 (Ordinance No. XI of 1972)","Provides for the education of workers children by establishing a legal framework for educational support, including definitions of employer, establishment, and worker, and mechanisms to promote educational welfare across Pakistan.",Uploaded by user
