doc_id,filename,law_type,source,description,notes,batch
Drugs_020,Drugs_020.pdf,Drug_laws,Criminal Petition No. 749-L of 2022 â Tariq Sajjad Khan v. The State (Supreme Court of Pakistan),"Supreme Court judgment under the Control of Narcotic Substances Act, 1997 examining appellate court duties in criminal appeals, evidentiary standards in narcotics cases, and procedural fairness. The Court held that appellate courts must independently assess the trial record even where conviction is not expressly challenged, found material contradictions and evidentiary defects in the prosecution case relating to narcotics recovery, and acquitted the accused by setting aside the conviction and sentence.",Uploaded by user,1
Drugs_021,Drugs_021.pdf,Drug_laws,Criminal Petition No. 546 of 2023 â Haider Ali v. The State (Supreme Court of Pakistan),"Supreme Court judgment under the Control of Narcotic Substances Act, 1997 concerning recovery of charas from a vehicle, evidentiary standards in narcotics prosecutions, and procedural defects in investigation. The Court examined inconsistencies in the prosecution case, deficiencies in safe custody and chain of custody of narcotics, and extended the benefit of doubt to the accused, resulting in acquittal.",Uploaded by user,1
OtherLaws_001,OtherLaws_001.pdf,Other_laws,,"Provides for the protection and care of children in the Islamabad Capital Territory, including safeguards against physical and mental violence, injury, neglect, maltreatment, exploitation, and abuse.",Uploaded by user,1
OtherLaws_002,OtherLaws_002.pdf,Other_laws,"Prevention of Electronic Crimes Act, 2016 (Act No. XL of 2016)","Provides for the prevention of unauthorized acts related to information systems, including cybercrimes, and establishes mechanisms for investigation, prosecution, and international cooperation in electronic crime matters in Pakistan.",Uploaded by user,1
OtherLaws_003,OtherLaws_003.pdf,Other_laws,"Prevention of Electronic Crimes (Amendment) Act, 2025 (Act No. II of 2025)","Amends the Prevention of Electronic Crimes Act, 2016 to update and strengthen legal provisions related to electronic crimes, including enforcement mechanisms and regulatory scope in Pakistan.",Uploaded by user,1
OtherLaws_004,OtherLaws_004.pdf,Other_laws,"Prevention of Electronic Crimes (Amendment) Ordinance, 2022 (Ordinance No. II of 2022)","Amends the Prevention of Electronic Crimes Act, 2016 to update and strengthen legal provisions related to electronic crimes, including enforcement mechanisms and regulatory scope in Pakistan.",Uploaded by user,1
OtherLaws_005,OtherLaws_005.pdf,Other_laws,"Prevention of Electronic Crimes (Amendment) Act, 2023 (Act No. XXXVII of 2023)","Amends the Prevention of Electronic Crimes Act, 2016, along with related provisions of the Pakistan Penal Code, 1860 and the Qanun-e-Shahadat, 1984, to strengthen legal measures, enforcement, and evidentiary framework for electronic crimes in Pakistan.",Uploaded by user,1
OtherLaws_006,OtherLaws_006.pdf,Other_laws,"Islamabad Capital Territory Child Protection (Amendment) Act, 2022 (Act No. II of 2022)","Amends the Islamabad Capital Territory Child Protection Act, 2018 to strengthen legal provisions for the protection, welfare, and safeguarding of children, enhancing enforcement mechanisms and addressing gaps in child protection laws in the Islamabad Capital Territory.",Uploaded by user,1
OtherLaws_007,OtherLaws_007.pdf,Other_laws,"Prevention of Electronic Crimes Ordinance, 2007 (Ordinance No. LXXII of 2007)","Provides legal provisions for the prevention of electronic crimes in Pakistan, including offenses against the confidentiality, integrity, and availability of electronic systems and data, along with mechanisms for investigation, prosecution, and punishment of such offenses.",Uploaded by user,1
OtherLaws_008,OtherLaws_008.pdf,Other_laws,"Pakistan Telecommunication (Re-organization) and Prevention of Electronic Crimes (Amendment) Ordinance, 2023 (Ordinance No. VIII of 2023)","Amends the Pakistan Telecommunication (Re-organization) Act, 1996 and the Prevention of Electronic Crimes Act, 2016 to establish a Telecommunication Appellate Tribunal and enhance regulatory and legal mechanisms for oversight, enforcement, and adjudication in telecommunication and electronic crime matters in Pakistan.",Uploaded by user,1
OtherLaws_009,OtherLaws_009.pdf,Other_laws,"Pakistan Telecommunication (Re-organization) and Prevention of Electronic Crimes (Amendment) Act, 2024 (Act No. XXV of 2024)","Amends the Pakistan Telecommunication (Re-organization) Act, 1996 and the Prevention of Electronic Crimes Act, 2016 to establish a Telecommunication Appellate Tribunal and strengthen regulatory, adjudicatory, and enforcement mechanisms for telecommunication and electronic crime-related matters in Pakistan.",Uploaded by user,1
StudentLaw_001,StudentLaw_001.pdf,Student_Law,"National Civic Education Commission Act, 2018 (Act No. XIV of 2018)","Provides for the establishment of the National Civic Education Commission to promote civic education, enhance awareness of fundamental rights and obligations, and foster responsible citizenship through education, knowledge, and participation in democratic processes within the Islamabad Capital Territory.",Uploaded by user,1
StudentLaw_002,StudentLaw_002.pdf,Student_Law,"West Pakistan (Board of Intermediate and Secondary Education, Hyderabad) (Validating) Act, 1965 (West Pakistan Act No. III of 1965)","Validates the acts, powers exercised, and functions performed by the Chairman-designate of the Board of Intermediate and Secondary Education, Hyderabad, during the period from 1st November 1960 to 16th August 1961, ensuring legal continuity and legitimacy of administrative actions taken prior to formal establishment under law.",Uploaded by user,1
StudentLaw_003,StudentLaw_003.pdf,Student_Law,"West Pakistan (Board of Intermediate and Secondary Education, Karachi) Ordinance, 1962 (West Pakistan Ordinance No. III of 1962)","Provides for the reconstitution and reorganization of the Karachi Board of Intermediate and Secondary Education, defining its structure, powers, functions, and governance framework for administering intermediate and secondary education within its jurisdiction.",Uploaded by user,1
StudentLaw_004,StudentLaw_004.pdf,Student_Law,"West Pakistan (Board of Intermediate and Secondary Education, Peshawar) (Validating) Act, 1965 (West Pakistan Act No. IV of 1965)","Validates the acts, powers exercised, and functions performed by the Chairman-designate of the Board of Intermediate and Secondary Education, Peshawar, during the period from 2nd November 1960 to 17th August 1961, ensuring legal recognition and continuity of actions taken prior to formal statutory establishment.",Uploaded by user,1
StudentLaw_005,StudentLaw_005.pdf,Student_Law,"West Pakistan Government Educational and Training Institutions (Extension to Karachi Division) Act, 1962 (West Pakistan Act No. IV of 1962)","Extends the provisions of the West Pakistan Government Educational and Training Institutions Ordinance, 1960 to the Karachi Division, thereby bringing educational and training institutions in the region under the same legal and administrative framework applicable in West Pakistan.",Uploaded by user,1
StudentLaw_006,StudentLaw_006.pdf,Student_Law,"Federal Board of Intermediate and Secondary Education (Amendment) Ordinance, 2024 (Ordinance No. IX of 2024)","Amends the Federal Board of Intermediate and Secondary Education Act, 1975 to update and improve the regulatory, administrative, and operational framework governing the Federal Board, including provisions related to examination systems, governance, and institutional functions.",Uploaded by user,1
StudentLaw_007,StudentLaw_007.pdf,Student_Law,"Worker's Children (Education) (Amendment) Ordinance, 1972 (Ordinance No. L of 1972)","Amends the Workersâ Children (Education) Ordinance, 1972 to extend and regulate educational provisions for children of workers across Pakistan, ensuring access to education and strengthening legal measures for their educational welfare.",Uploaded by user,1
StudentLaw_008,StudentLaw_008.pdf,Student_Law,"Federal Board of Intermediate and Secondary Education Act, 1975 (Act No. LXVIII of 1975)","Provides for the establishment of the Federal Board of Intermediate and Secondary Education, defining its structure, functions, powers, and responsibilities for regulating and administering intermediate and secondary education, including affiliation of institutions, examination systems, and academic standards.",Uploaded by user,1
StudentLaw_009,StudentLaw_009.pdf,Student_Law,"Pakistan Medical and Dental Council (Postgraduate Education) Regulations, 2023","Provides a comprehensive regulatory framework governing postgraduate medical and dental education in Pakistan, including program recognition, qualification structures, admission policies, training standards, supervision criteria, assessment mechanisms, and institutional requirements under the Pakistan Medical and Dental Council Act, 2022.",Uploaded by user,1
StudentLaw_010,StudentLaw_010.pdf,Student_Law,"Compulsory Primary Education (FATA) Regulation, 2002 (Regulation No. I of 2002)","Provides for the introduction and enforcement of compulsory primary education in the Federally Administered Tribal Areas (FATA), establishing a legal framework to ensure access to basic education for children in the region.",Uploaded by user,1
StudentLaw_011,StudentLaw_011.pdf,Student_Law,"Higher Education Commission (Amendment) Act, 2021 (Act No. XXI of 2021)","Amends the Higher Education Commission Ordinance, 2002 to update the legal framework governing the Higher Education Commission, refining its structure, functions, and regulatory role in overseeing higher education institutions in Pakistan.",Uploaded by user,1
StudentLaw_012,StudentLaw_012.pdf,Student_Law,"Higher Education Commission (Amendment) Ordinance, 2021 (Ordinance No. IX of 2021)","Introduces amendments to the Higher Education Commission Ordinance, 2002, updating the governance and regulatory framework of the Higher Education Commission through presidential ordinance in the absence of Parliament.",Uploaded by user,1
StudentLaw_013,StudentLaw_013.pdf,Student_Law,"Higher Education Commission (Second Amendment) Act, 2021 (Act No. XXII of 2021)","Further amends the legal framework governing the Higher Education Commission by revising provisions of the Higher Education Commission Ordinance, 2002 and incorporating changes introduced through the 2021 amendment ordinance, strengthening regulatory and governance mechanisms for higher education in Pakistan.",Uploaded by user,1
StudentLaw_014,StudentLaw_014.pdf,Student_Law,"Higher Education Commission (Amendment) Ordinance, 2021 (Ordinance No. X of 2021)","Further amends the Higher Education Commission Ordinance, 2002 by introducing additional changes to its governance and regulatory framework, building upon earlier 2021 amendments through presidential ordinance.",Uploaded by user,1
StudentLaw_015,StudentLaw_015.pdf,Student_Law,"Higher Education Commission Ordinance, 2002 (Ordinance No. LIII of 2002)","Provides for the establishment of the Higher Education Commission as the central regulatory body for higher education in Pakistan, outlining its structure, powers, functions, and responsibilities for promoting, regulating, and developing higher education, research, and academic standards nationwide.",Uploaded by user,1
StudentLaw_016,StudentLaw_016.pdf,Student_Law,"Islamabad Capital Territory Education Cess Rules, 1981","Prescribes the procedure for assessment, collection, and enforcement of education cess payable by employers in the Islamabad Capital Territory under the Workersâ Children (Education) Ordinance, 1972, including requirements for returns, payment mechanisms, inspection powers, recovery processes, and appeals.",Uploaded by user,1
StudentLaw_017,StudentLaw_017.pdf,Student_Law,"Private Educational Institutions (Registration and Regulation) Ordinance, 2009 (Ordinance No. LIV of 2009)","Provides a revised legal framework for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, aiming to ensure transparency, accountability, and adherence to prescribed educational standards.",Uploaded by user,1
StudentLaw_018,StudentLaw_018.pdf,Student_Law,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. IX of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, establishing mechanisms to ensure transparency, proper governance, and compliance with prescribed educational standards.",Uploaded by user,1
StudentLaw_019,StudentLaw_019.pdf,Student_Law,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. XXIX of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, proper administration, and compliance with prescribed standards.",Uploaded by user,1
StudentLaw_020,StudentLaw_020.pdf,Student_Law,"Private Educational Institutions (Registration and Regulation) Ordinance, 2007 (Ordinance No. LV of 2007)","Provides for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, proper discipline, and standardized oversight of educational services.",Uploaded by user,1
StudentLaw_021,StudentLaw_021.pdf,Student_Law,"Private Educational Institutions (Registration and Regulation) Ordinance, 2006 (Ordinance No. XXII of 2006)","Provides a legal framework for the registration, regulation, promotion, and functioning of private educational institutions in the Islamabad Capital Territory, ensuring transparency, accountability, and proper administrative control.",Uploaded by user,1
StudentLaw_022,StudentLaw_022.pdf,Student_Law,"Islamabad Capital Territory Workers Children Education Cess (Utilization) Rules, 1981","Provides rules for the utilization of funds collected under the Workers Children (Education) Ordinance, 1972 in the Islamabad Capital Territory, including provisions for scholarships, educational facilities, and administrative mechanisms for supporting workersâ childrenâs education.",Uploaded by user,1
StudentLaw_023,StudentLaw_023.pdf,Student_Law,"Medical and Dental Undergraduate Education (Admissions, Curriculum and Conduct) Policy and Regulations, 2025","Establishes a comprehensive regulatory framework by the Pakistan Medical and Dental Council governing admissions, curriculum standards, student conduct, and eligibility criteria for undergraduate medical and dental education in Pakistan, including centralized admission processes and requirements such as MDCAT qualification.",Uploaded by user,1
StudentLaw_024,StudentLaw_024.pdf,Student_Law,"National Commission for Basic Education Ordinance, 1993 (Ordinance No. XXXIV of 1993)","Provides for the establishment of a National Commission for Basic Education to promote grassroots education and adult literacy in Pakistan, outlining its structure, functions, and key definitions for advancing basic education initiatives nationwide.",Uploaded by user,1
StudentLaw_025,StudentLaw_025.pdf,Student_Law,"National Education Foundation (Restructuring) Ordinance, 2002 (Ordinance No. XX of 2002)","Provides for the restructuring of the National Education Foundation, introducing changes to its organizational framework and functions to improve the delivery and management of educational initiatives in Pakistan.",Uploaded by user,1
StudentLaw_026,StudentLaw_026.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2006 (Ordinance No. XXXIV of 2006)","Provides for the establishment of an autonomous body to regulate, coordinate, and set policy direction for technical and vocational education and training in Pakistan, aiming to enhance skills development and workforce capacity.",Uploaded by user,1
StudentLaw_027,StudentLaw_027.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2007 (Ordinance No. XXXIII of 2007)","Provides for the establishment and regulation of an autonomous body to coordinate, regulate, and formulate policy for technical and vocational education and training in Pakistan, aimed at improving workforce skills and training standards nationwide.",Uploaded by user,1
StudentLaw_028,StudentLaw_028.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2008 (Ordinance No. VII of 2008)","Provides for the establishment and continuation of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, strengthening institutional oversight and skills development frameworks.",Uploaded by user,1
StudentLaw_029,StudentLaw_029.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2008 (Ordinance No. V of 2008)","Provides for the establishment of an autonomous body to regulate, coordinate, and set policy direction for technical and vocational education and training in Pakistan, aiming to strengthen skills development and institutional governance.",Uploaded by user,1
StudentLaw_030,StudentLaw_030.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. XVII of 2009)","Provides for the establishment and continuation of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, enhancing governance and national skills development initiatives.",Uploaded by user,1
StudentLaw_031,StudentLaw_031.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. XXXVI of 2009)","Provides for the establishment and continuation of an autonomous body responsible for regulating, coordinating, and setting policy direction for technical and vocational education and training in Pakistan, enhancing national skills development systems.",Uploaded by user,1
StudentLaw_032,StudentLaw_032.pdf,Student_Law,"National Vocational and Technical Education Commission Ordinance, 2009 (Ordinance No. VI of 2009)","Provides for the establishment and functioning of an autonomous body to regulate, coordinate, and formulate policy for technical and vocational education and training in Pakistan, strengthening institutional mechanisms for skills development.",Uploaded by user,1
StudentLaw_033,StudentLaw_033.pdf,Student_Law,"Dini Madaris (Registration and Regulation) Ordinance, 2001 (Ordinance No. XL of 2001)","Provides for the establishment of model dini madaris and introduces a framework for registration, regulation, and standardization of curricula to ensure uniform educational standards and integration of Islamic education with the general education system in Pakistan.",Uploaded by user,1
StudentLaw_034,StudentLaw_034.pdf,Student_Law,"Islamabad Capital Territory Free and Compulsory Education Act, 2012 (Act No. XXIV of 2012)","Provides for free and compulsory education to all children aged five to sixteen years in the Islamabad Capital Territory, establishing the legal framework for universal access to basic education and defining the responsibilities of federal and local authorities.",Uploaded by user,1
StudentLaw_035,StudentLaw_035.pdf,Student_Law,"Compulsory Primary Education Ordinance, 2002 (Ordinance No. XIV of 2002)","Provides for compulsory primary education in the Islamabad Capital Territory, establishing legal obligations and framework to ensure access to basic education for children and promote universal primary education.",Uploaded by user,1
StudentLaw_036,StudentLaw_036.pdf,Student_Law,"Labour Laws (Amendment) Ordinance, 1994 (Ordinance No. VII of 1994)","Amends various labour-related laws concerning workersâ compensation, wages, old-age pensions, social security, workersâ children education, gratuity, and profit-sharing, and repeals the earlier Labour Laws (Amendment) Ordinance, 1993 to consolidate updated provisions.",Uploaded by user,1
